CFDI40101|El campo Fecha no cumple con el patrón requerido.
CFDI40102|El resultado de la digestión debe ser igual al resultado de la desencripción del sello.
CFDI40103|Si existe el tipo de comprobante T, N o P el campo FormaPago no debe existir.
CFDI40104|El campo FormaPago no contiene un valor del catálogo c_FormaPago. 
CFDI40105|El campo FormaPago no contiene el valor "99". 
CFDI40106|EL certificado no cumple con alguno de los valores permitidos.
CFDI40107|El valor de este campo SubTotal excede la cantidad de decimales que soporta la moneda.
CFDI40108|El TipoDeComprobante es I,E o N, el importe registrado en el campo no es igual al redondeo de la suma de los importes de los conceptos registrados.
CFDI40109|El TipoDeComprobante es T o P y el importe no es igual a 0, o cero con decimales.
CFDI40110|El valor registrado en el campo Descuento no es menor o igual que el campo Subtotal.
CFDI40111|El TipoDeComprobante no es I,E o N, y un concepto incluye el campo descuento. 
CFDI40112|El valor del campo Descuento excede la cantidad de decimales que soporta la moneda.
CFDI40113|El campo Moneda no contiene un valor del catálogo c_Moneda. 
CFDI40114|El campo TipoCambio no tiene el valor "1" y la moneda indicada es MXN.
CFDI40115|El campo TipoCambio se debe registrar cuando el campo Moneda tiene un valor distinto de MXN y XXX. 
CFDI40116|El campo TipoCambio no se debe registrar cuando el campo Moneda tiene el valor XXX.
CFDI40117|El campo TipoCambio no cumple con el patrón requerido.
CFDI40118|Cuando el valor del campo TipoCambio se encuentre fuera de los límites establecidos, debe existir el campo Confirmacion.
CFDI40119|El campo Total no corresponde con la suma del subtotal, menos los descuentos aplicables, más las contribuciones recibidas (impuestos trasladados - federales o locales, derechos, productos, aprovechamientos, aportaciones de seguridad social, contribuciones de mejoras) menos los impuestos retenidos y/o locales.
CFDI40120|Cuando el valor del campo Total se encuentre fuera de los límites establecidos, debe existir el campo Confirmacion.
CFDI40121|El campo TipoDeComprobante, no contiene un valor del catálogo c_TipoDeComprobante.
CFDI40122|El campo Exportacion contiene el valor "02", el CFDI debe contener el complemento para Comercio Exterior.
CFDI40123|El campo Exportacion no contiene un valor del catálogo c_Exportacion. 
CFDI40124|El campo MetodoPago, no contiene un valor del catálogo c_MetodoPago.
CFDI40125|Se debe omitir el campo MetodoPago cuando el TipoDeComprobante es T o P.
CFDI40126|El campo LugarExpedicion, no contiene un valor del catálogo c_CodigoPostal.
CFDI40127|El campo Confirmacion no debe existir cuando los campos TipoCambio y/o Total están dentro del rango permitido.
CFDI40128|Número de confirmación inválido.
CFDI40129|Número de confirmación utilizado previamente.
CFDI40130|Cuando el tipo de comprobante sea Ingreso y el campo Rfc del nodo receptor corresponda al valor "XAXX010101000" y el campo Nombre del nodo Receptor contenga la descripción “PUBLICO EN GENERAL”, el nodo Información Global debe existir.
CFDI40131|El campo Periodicidad, no contiene un valor del catálogo c_Periodicidad. 
CFDI40132|El campo RegimenFiscal, no contiene el valor 621 
CFDI40133|El campo Meses, no contiene un valor del catálogo c_Meses. 
